Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.293062686920166,2.293062686920166,2.2992374294281004,0.001,0.001,0.001
1,2,0.049468994140625,2.2989144325256348,nan,nan,0.001,nan,0.001
1,3,0.1197350025177002,2.2966227531433105,nan,nan,0.001,nan,0.001
1,4,0.14040136337280273,2.2974183559417725,nan,nan,0.001,nan,0.001
1,5,0.15973162651062012,2.3025758266448975,nan,nan,0.001,nan,0.001
1,6,0.17895030975341797,2.3009281158447266,nan,nan,0.001,nan,0.001
1,7,0.20276498794555664,2.297084093093872,nan,nan,0.001,nan,0.001
1,8,0.22111105918884277,2.286613702774048,nan,nan,0.001,nan,0.001
1,9,0.23942255973815918,2.2827675342559814,nan,nan,0.001,nan,0.001
1,10,0.25815320014953613,2.2776622772216797,nan,nan,0.001,nan,0.001
1,11,0.2766993045806885,2.280956506729126,nan,nan,0.001,nan,0.001
1,12,0.29485654830932617,2.272726058959961,nan,nan,0.001,nan,0.001
1,13,0.3132774829864502,2.268198013305664,nan,nan,0.001,nan,0.001
1,14,0.3317604064941406,2.265570640563965,nan,nan,0.001,nan,0.001
1,15,0.350261926651001,2.256760358810425,nan,nan,0.001,nan,0.001
1,16,0.36815404891967773,2.263674020767212,nan,nan,0.001,nan,0.001
1,17,0.386096715927124,2.262193202972412,nan,nan,0.001,nan,0.001
1,18,0.40391063690185547,2.2516911029815674,nan,nan,0.001,nan,0.001
1,19,0.4223136901855469,2.238783597946167,nan,nan,0.001,nan,0.001
1,20,0.44049572944641113,2.2353110313415527,nan,nan,0.001,nan,0.001
1,21,0.45893359184265137,2.2338175773620605,nan,nan,0.001,nan,0.001
1,22,0.4771146774291992,2.218893051147461,nan,nan,0.001,nan,0.001
1,23,0.49521660804748535,2.2198193073272705,nan,nan,0.001,nan,0.001
1,24,0.513392448425293,2.2317404747009277,nan,nan,0.001,nan,0.001
1,25,0.531745433807373,2.2072997093200684,nan,nan,0.001,nan,0.001
1,26,0.55000901222229,2.210103988647461,nan,nan,0.001,nan,0.001
1,27,0.5683779716491699,2.2026896476745605,nan,nan,0.001,nan,0.001
1,28,0.5865356922149658,2.188793659210205,nan,nan,0.001,nan,0.001
1,29,0.6051254272460938,2.192431926727295,nan,nan,0.001,nan,0.001
1,30,0.6231622695922852,2.1702401638031006,nan,nan,0.001,nan,0.001
1,31,0.6414728164672852,2.1885714530944824,nan,nan,0.001,nan,0.001
1,32,0.659252405166626,2.175917148590088,nan,nan,0.001,nan,0.001
1,33,0.6770250797271729,2.1632578372955322,nan,nan,0.001,nan,0.001
1,34,0.6953017711639404,2.1776628494262695,nan,nan,0.001,nan,0.001
1,35,0.7130765914916992,2.1549336910247803,nan,nan,0.001,nan,0.001
1,36,0.7320294380187988,2.153423309326172,nan,nan,0.001,nan,0.001
1,37,0.7503411769866943,2.1537227630615234,nan,nan,0.001,nan,0.001
1,38,0.7739734649658203,2.126696825027466,nan,nan,0.001,nan,0.001
1,39,0.7927088737487793,2.111994743347168,nan,nan,0.001,nan,0.001
1,40,0.8106033802032471,2.1211905479431152,nan,nan,0.001,nan,0.001
1,41,0.829380989074707,2.096764087677002,nan,nan,0.001,nan,0.001
1,42,0.849132776260376,2.116913080215454,nan,nan,0.001,nan,0.001
1,43,0.8691396713256836,2.1101977825164795,nan,nan,0.001,nan,0.001
1,44,0.8894293308258057,2.0704052448272705,nan,nan,0.001,nan,0.001
1,45,0.90883469581604,2.0763936042785645,nan,nan,0.001,nan,0.001
1,46,0.92767333984375,2.10604190826416,nan,nan,0.001,nan,0.001
1,47,0.9463491439819336,2.0692930221557617,nan,nan,0.001,nan,0.001
1,48,0.964266300201416,2.0941858291625977,nan,nan,0.001,nan,0.001
1,49,0.9822361469268799,2.0378785133361816,nan,nan,0.001,nan,0.001
1,50,1.0008764266967773,2.081779956817627,nan,nan,0.001,nan,0.001
1,51,1.0191597938537598,2.054748773574829,nan,nan,0.001,nan,0.001
1,52,1.0375573635101318,2.0729613304138184,nan,nan,0.001,nan,0.001
1,53,1.0555691719055176,2.047319173812866,nan,nan,0.001,nan,0.001
1,54,1.073638677597046,2.0399999618530273,nan,nan,0.001,nan,0.001
1,55,1.0924382209777832,2.0379550457000732,nan,nan,0.001,nan,0.001
1,56,1.1106188297271729,2.018754005432129,nan,nan,0.001,nan,0.001
1,57,1.1287243366241455,2.0059001445770264,nan,nan,0.001,nan,0.001
1,58,1.14662766456604,1.9778047800064087,nan,nan,0.001,nan,0.001
1,59,1.1648454666137695,2.0105745792388916,nan,nan,0.001,nan,0.001
1,60,1.183551549911499,1.961544156074524,nan,nan,0.001,nan,0.001
1,61,1.2020089626312256,1.96836256980896,nan,nan,0.001,nan,0.001
